sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	localityId	localityName	decimalLatitude	decimalLongitude	YYYY	MM	DD	HH	mm	ss	observationDateTime	referenceDoi	referenceUrl	referenceCitation
	WORMS:351056	Diogenidium nasutum			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/AEO_0000186	body cavity 	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	GEONAMES:3572887	Commonwealth of The Bahamas	25.04082	-77.37122	1891	1	1	0	0	0	1891-1-1T00:00:00Z		https://www.biodiversitylibrary.org/page/6400545#page/85/mode/1up	"Edwards CLAM (1891). Beschreibung einiger neuen Copepoden und eines neuen copepodenähnlichen Krebses, Leuckartella, paradoxa. Archiv Für Naturgeschichte., 57(1): 75–104."
	WORMS:116379	Metis holothuriae			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/AEO_0000186	body cavity 	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	GEONAMES:3572887	Commonwealth of The Bahamas	25.04082	-77.37122	1891	1	1	0	0	0	1891-1-1T00:00:00Z		https://www.biodiversitylibrary.org/page/6400545#page/85/mode/1up	"Edwards CLAM (1891). Beschreibung einiger neuen Copepoden und eines neuen copepodenähnlichen Krebses, Leuckartella, paradoxa. Archiv Für Naturgeschichte., 57(1): 75–104."
	WORMS:353051	Leuckartella paradoxa			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/AEO_0000186	body cavity 	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	GEONAMES:3572887	Commonwealth of The Bahamas	25.04082	-77.37122	1891	1	1	0	0	0	1891-1-1T00:00:00Z		https://www.biodiversitylibrary.org/page/6400545#page/85/mode/1up	"Edwards CLAM (1891). Beschreibung einiger neuen Copepoden und eines neuen copepodenähnlichen Krebses, Leuckartella, paradoxa. Archiv Für Naturgeschichte., 57(1): 75–104."
	WORMS:158995	Carapus bermudensis 			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/UBERON_0003928	digestive system duct	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage					1995	1	1	0	0	0	1995-1-1T00:00:00Z		"https://books.google.com.mx/books?id=-0MWAQAAIAAJ&pg=PR4&dq=Sea+Stars,+Sea+Urchins+and+Allies:+Echinoderms+of+Florida+and+the+Caribbean&hl=es-419&sa=X&ved=0ahUKEwiVpM_8wdDjAhVlUt8KHdgBBrAQ6wEITzAF"	"Hendler G, Miller JE, Pawson DL, Kier PM (1995). Sea Stars, Sea Urchins and Allies: Echinoderms of Florida and the Caribbean (G. Hendler, Ed.). Florida: Smithsonian Institution."
	WORMS:158995	Carapus bermudensis			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/UBERON_0003928	digestive system duct	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	GEONAMES:3613426	 Cayos Cochinos	15.96667	-86.46667	2002	1	1	0	0	0	2002-1-1T00:00:00Z		https://revistas.ucr.ac.cr/index.php/rbt/article/view/16592	"Hasbún CR, Lawrence AJ (2002). An Annotated Description of Shallow Water Holothurians (Echinodermata: Holothuroidea) from Cayos Cochinos, Honduras. Revista de Biologia Tropical, 50(2): 669–678."
	WORMS:158995	Carapus bermudensis			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/UBERON_0003928	digestive system duct	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	GEONAMES:3613426	 Cayos Cochinos	15.96667	-86.46667	2002	1	1	0	0	0	2002-1-1T00:00:00Z		https://revistas.ucr.ac.cr/index.php/rbt/article/view/16592	"Hasbún CR, Lawrence AJ (2002). An Annotated Description of Shallow Water Holothurians (Echinodermata: Holothuroidea) from Cayos Cochinos, Honduras. Revista de Biologia Tropical, 50(2): 669–678."
	WORMS:158995	Carapus bermudensis			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/AEO_0000186	body cavity 	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage					2004	1	1	0	0	0	2004-1-1T00:00:00Z		http://www.vliz.be/en/imis?refid=217892	"Eeckhaut I, Parmentier E, Becker P, Gomez da Silva S, Jangoux M (2004). Parasites and biotic diseases in field and cultivated sea cucumbers. In Advances in sea cucumber aquaculture and management (pp. 311–325)."
	WORMS:349969	Caribulus sculptus			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/AEO_0000186	body cavity 	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage					2020	1	1	0	0	0	2020-1-1T00:00:00Z	https://doi.org/10.14284/170	http://www.marinespecies.org at VLIZ	WoRMS Editorial Board (2020). World Register of Marine Species.  
	WORMS:351054	Diogenella spinicauda			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/AEO_0000186	body cavity 	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage					2020	1	1	0	0	0	2020-1-1T00:00:00Z	https://doi.org/10.14284/170	http://www.marinespecies.org at VLIZ	WoRMS Editorial Board (2020). World Register of Marine Species.  
	WORMS:351056	Diogenidium nasutum			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/AEO_0000186	body cavity 	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage					2020	1	1	0	0	0	2020-1-1T00:00:00Z	https://doi.org/10.14284/170	http://www.marinespecies.org at VLIZ	WoRMS Editorial Board (2020). World Register of Marine Species.  
	WORMS:351058	Diogenidium tectum			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/AEO_0000186	body cavity 	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage					2020	1	1	0	0	0	2020-1-1T00:00:00Z	https://doi.org/10.14284/170	http://www.marinespecies.org at VLIZ	WoRMS Editorial Board (2020). World Register of Marine Species.  
	WORMS:116379	Metis holothuriae 			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/AEO_0000186	body cavity 	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage					2020	1	1	0	0	0	2020-1-1T00:00:00Z	https://doi.org/10.14284/170	http://www.marinespecies.org at VLIZ	WoRMS Editorial Board (2020). World Register of Marine Species.  
